Date,cars,persons,bicycles,motorcycles,trucks
2020-10-11,9541.0,9780.0,1248.0,68.0,646.0
2020-10-18,24203.0,24203.0,3308.0,176.0,1716.0
2020-10-25,24052.0,18790.0,2574.0,114.0,1758.0
2020-11-01,24549.0,16170.0,1877.0,84.0,1719.0
2020-11-08,24235.0,19927.0,1966.0,119.0,1810.0
2020-11-15,23945.0,18174.0,1196.0,83.0,1811.0
2020-11-22,23447.0,16458.0,1646.0,137.0,1807.0
2020-11-29,22393.0,17916.0,1985.0,76.0,1761.0
2020-12-06,21384.0,16825.0,2080.0,91.0,1703.0
2020-12-13,24381.0,17007.0,1405.0,82.0,1593.0
2020-12-20,27359.0,18742.0,2157.0,83.0,1786.0
2020-12-27,23963.0,16106.0,2208.0,74.0,1297.0
2021-01-03,19661.0,17488.0,2162.0,59.0,1206.0
2021-01-10,20489.0,15571.0,1633.0,35.0,1390.0
2021-01-17,21420.0,14076.0,1731.0,100.0,1591.0
2021-01-24,22534.0,17793.0,2230.0,106.0,1461.0
2021-01-31,21644.0,16478.0,1517.0,92.0,1469.0
2021-02-07,23152.0,14356.0,2129.0,63.0,1484.0
2021-02-14,19758.0,17272.0,1437.0,61.0,1408.0
2021-02-21,22455.0,18807.0,2230.0,115.0,1501.0
2021-02-28,19123.0,18192.0,2753.0,112.0,1323.0
2021-03-07,22865.0,21750.0,2988.0,144.0,1361.0
2021-03-14,13590.0,9086.0,1227.0,67.0,793.0
2021-03-21,17578.0,20292.0,2565.0,148.0,1002.0
2021-03-28,20884.0,14849.0,1885.0,91.0,1165.0
2021-04-04,22110.0,25317.0,2907.0,208.0,1554.0
2021-04-11,25172.0,24053.0,2385.0,169.0,1430.0
2021-04-18,24746.0,29493.0,3446.0,267.0,1559.0
2021-04-25,24327.0,31413.0,2593.0,220.0,1664.0
2021-05-02,27747.0,27992.0,3020.0,169.0,1721.0
2021-05-09,27105.0,23196.0,2550.0,133.0,1699.0
2021-05-16,26842.0,30449.0,2818.0,159.0,1686.0
2021-05-23,22562.0,24645.0,3142.0,184.0,1621.0
2021-05-30,24792.0,29425.0,2969.0,221.0,1760.0
2021-06-06,26303.0,32794.0,2851.0,264.0,1708.0
2021-06-13,28001.0,31775.0,3006.0,221.0,1783.0
2021-06-20,27072.0,31831.0,2775.0,284.0,1731.0
2021-06-27,28264.0,32638.0,3013.0,239.0,1726.0
2021-07-04,26973.0,34119.0,4001.0,231.0,1739.0
2021-07-11,27896.0,34723.0,4684.0,256.0,1864.0
2021-07-18,24590.0,34408.0,3835.0,229.0,1234.0
2021-07-25,27952.0,36757.0,3693.0,194.0,1147.0
2021-08-01,31641.0,37435.0,4128.0,229.0,1561.0
2021-08-08,31570.0,32805.0,3540.0,173.0,1563.0
2021-08-15,32006.0,34702.0,3844.0,185.0,1629.0
2021-08-22,32887.0,36318.0,4034.0,225.0,1853.0
2021-08-29,33262.0,41499.0,4228.0,250.0,1774.0
2021-09-05,33069.0,37132.0,4814.0,249.0,1567.0
2021-09-12,32181.0,40269.0,3448.0,194.0,1595.0
2021-09-19,32296.0,37090.0,4320.0,186.0,1602.0
2021-09-26,34738.0,37979.0,4399.0,255.0,1818.0
2021-10-03,33721.0,30868.0,3054.0,132.0,1607.0
2021-10-10,37745.0,35039.0,4047.0,181.0,1670.0
2021-10-17,34714.0,33764.0,3995.0,177.0,1534.0
2021-10-24,35489.0,34752.0,3160.0,134.0,1553.0
2021-10-31,33580.0,32178.0,2409.0,139.0,1636.0
2021-11-07,21320.0,27351.0,2332.0,118.0,1212.0
2021-11-14,17616.0,19288.0,1769.0,115.0,840.0
2021-11-21,18524.0,16843.0,2209.0,79.0,754.0
2021-11-28,18259.0,16618.0,2351.0,85.0,721.0
2021-12-05,18099.0,15155.0,1639.0,76.0,719.0
2021-12-12,17469.0,13668.0,1530.0,47.0,642.0
2021-12-19,17535.0,14583.0,1607.0,73.0,713.0
2021-12-26,15922.0,10790.0,990.0,58.0,594.0
2022-01-02,14360.0,11031.0,827.0,60.0,563.0
2022-01-09,15339.0,10667.0,1231.0,53.0,547.0
2022-01-16,17213.0,14232.0,1234.0,81.0,686.0
2022-01-23,17405.0,14728.0,1569.0,88.0,625.0
2022-01-30,15761.0,13382.0,1383.0,76.0,558.0
2022-02-06,16564.0,11826.0,1037.0,64.0,504.0
2022-02-13,17519.0,12144.0,974.0,60.0,627.0
2022-02-20,16214.0,14102.0,1290.0,50.0,753.0
2022-02-27,16876.0,16489.0,1354.0,73.0,710.0
2022-03-06,18630.0,18900.0,1416.0,113.0,740.0
2022-03-13,19151.0,17184.0,1844.0,78.0,748.0
2022-03-20,17042.0,19734.0,2616.0,100.0,608.0
2022-03-27,18100.0,24039.0,2565.0,146.0,671.0
2022-04-03,16913.0,18716.0,2239.0,92.0,764.0
2022-04-10,18122.0,17394.0,2259.0,151.0,794.0
2022-04-17,18343.0,19665.0,2444.0,105.0,730.0
2022-04-24,17200.0,20871.0,2396.0,128.0,683.0
2022-05-01,18938.0,19443.0,2535.0,131.0,723.0
2022-05-08,17401.0,19764.0,2530.0,165.0,627.0
2022-05-15,18141.0,17111.0,2151.0,102.0,614.0
2022-05-22,18703.0,19113.0,2393.0,126.0,665.0
2022-05-29,19535.0,19544.0,2755.0,133.0,698.0
2022-06-05,17855.0,20792.0,2726.0,147.0,566.0
2022-06-12,19345.0,16563.0,2645.0,150.0,676.0
2022-06-19,28765.0,31499.0,4079.0,265.0,1025.0
2022-06-26,31186.0,34787.0,4601.0,294.0,1136.0
2022-07-03,17405.0,15102.0,2313.0,118.0,574.0
2022-07-10,20821.0,25836.0,2546.0,138.0,655.0
2022-07-17,26745.0,30997.0,4304.0,228.0,916.0
2022-07-24,27585.0,28607.0,4303.0,197.0,991.0
2022-07-31,28306.0,31418.0,4611.0,209.0,977.0
2022-08-07,29453.0,31310.0,5000.0,213.0,1040.0
2022-08-14,26735.0,33984.0,4324.0,246.0,1098.0
2022-08-21,22766.0,24188.0,4728.0,148.0,779.0
2022-08-28,22431.0,26484.0,4566.0,198.0,812.0
2022-09-04,3033.0,3574.0,634.0,38.0,91.0
2022-09-11,,,,,
2022-09-18,,,,,
2022-09-25,,,,,
2022-10-02,,,,,
2022-10-09,,,,,
2022-10-16,21703.0,16432.0,2140.0,95.0,478.0
2022-10-23,34652.0,23746.0,3672.0,134.0,887.0
2022-10-30,35496.0,25608.0,3549.0,155.0,892.0
2022-11-06,20403.0,13116.0,1688.0,75.0,546.0
2022-11-13,7145.0,3184.0,247.0,40.0,149.0
2022-11-20,4409.0,1908.0,25.0,19.0,100.0
2022-11-27,4593.0,1731.0,29.0,16.0,81.0
2022-12-04,3214.0,1180.0,113.0,8.0,59.0
2022-12-11,,,,,
2022-12-18,,,,,
2022-12-25,,,,,
2023-01-01,33608.0,15363.0,2381.0,94.0,752.0
2023-01-08,34414.0,17990.0,2830.0,99.0,826.0
2023-01-15,36767.0,19086.0,2993.0,65.0,1132.0
2023-01-22,38491.0,23676.0,2731.0,99.0,1114.0
2023-01-29,39146.0,24981.0,3132.0,107.0,948.0
2023-02-05,28064.0,19086.0,2012.0,78.0,803.0
2023-02-12,36382.0,24490.0,3384.0,119.0,1089.0
2023-02-19,35258.0,24245.0,3657.0,144.0,1010.0
2023-02-26,35521.0,27054.0,3534.0,144.0,1021.0
2023-03-05,36253.0,26983.0,4190.0,171.0,1157.0
2023-03-12,35453.0,23989.0,3647.0,135.0,1233.0
2023-03-19,33635.0,19764.0,2918.0,95.0,1270.0
2023-03-26,33601.0,22291.0,2999.0,121.0,1149.0
2023-04-02,37312.0,26378.0,3562.0,158.0,1233.0
2023-04-09,33886.0,28373.0,4018.0,210.0,1234.0
2023-04-16,16307.0,12230.0,1274.0,91.0,474.0
2023-04-23,29600.0,22828.0,2796.0,135.0,914.0
2023-04-30,36907.0,27326.0,3379.0,149.0,1087.0
2023-05-07,35179.0,29802.0,2723.0,211.0,1099.0
2023-05-14,33508.0,29974.0,2936.0,218.0,1056.0
2023-05-21,33972.0,29761.0,3170.0,256.0,1112.0
2023-05-28,33840.0,33637.0,3224.0,258.0,1041.0
2023-06-04,31342.0,34137.0,2923.0,239.0,992.0
2023-06-11,78851.0,40337.0,3808.0,407.0,1614.0
2023-06-18,88551.0,41521.0,3471.0,439.0,2280.0
2023-06-25,81290.0,40267.0,3450.0,340.0,2965.0
2023-07-02,84856.0,34664.0,2967.0,280.0,2352.0
2023-07-09,82337.0,37586.0,3052.0,400.0,2110.0
2023-07-16,10049.0,4123.0,580.0,66.0,245.0
